Model,Start Date,End Date,Average Sharpe Ratio,Average Return,Volatility,Final Portfolio Value
"best_model_layers_2_seq_180_hunits[32, 148]_lr0.001_daydecay2_maxnorm3.pth",2017-01-03,2020-12-28,0.7989811240984296,0.0026154807003171,0.0236056885214183,1626218.5291896602
"best_model_layers_2_seq_30_hunits[32, 148]_lr0.001_daydecay1_maxnorm3.pth",2017-01-03,2020-12-28,0.7977905072215263,0.0026348260732804,0.0238157772576856,1631865.066739648
best_model_layers_1_seq_180_hunits[148]_lr0.0001_daydecay1_maxnorm3.pth,2017-01-03,2020-12-28,0.7973491127935568,0.0025755367899292,0.0232927579875242,1615637.6673665773
"best_model_layers_2_seq_180_hunits[64, 148]_lr0.001_daydecay1_maxnorm3.pth",2017-01-03,2020-12-28,0.7972063462654855,0.0026993541412167,0.0244169149239362,1649098.5441290336
"best_model_layers_2_seq_180_hunits[32, 148]_lr0.001_daydecay10_maxnorm3.pth",2017-01-03,2020-12-28,0.7957365851763178,0.0026231190905312,0.0237711588451431,1627963.271781267
"best_model_layers_2_seq_30_hunits[64, 148]_lr0.001_daydecay1_maxnorm8.pth",2017-01-03,2020-12-28,0.7957085979483179,0.0025475310375278,0.0230869788395558,1607933.6574257442
"best_model_layers_2_seq_30_hunits[64, 148]_lr0.001_daydecay2_maxnorm1.pth",2017-01-03,2020-12-28,0.7955182016704525,0.0025650031320288,0.0232508829963558,1612616.5903608764
best_model_layers_1_seq_180_hunits[148]_lr0.001_daydecay5_maxnorm1.pth,2017-01-03,2020-12-28,0.7953540142693731,0.0025402790530161,0.0230315210970566,1605934.9840999723
best_model_layers_1_seq_180_hunits[148]_lr0.001_daydecay5_maxnorm15.pth,2017-01-03,2020-12-28,0.794333692658267,0.0025516539975949,0.0231643688555694,1608748.7134804227
"best_model_layers_2_seq_180_hunits[64, 148]_lr0.0001_daydecay1_maxnorm8.pth",2017-01-03,2020-12-28,0.7939142425249043,0.0025341004569344,0.0230171689717913,1603934.747299479
"best_model_layers_2_seq_60_hunits[64, 148]_lr0.001_daydecay5_maxnorm3.pth",2017-01-03,2020-12-28,0.793229314110951,0.0024937347384514,0.0226700862082234,1593019.279709773
"best_model_layers_2_seq_365_hunits[256, 148]_lr0.001_daydecay1_maxnorm15.pth",2017-01-03,2020-12-28,0.7929952655700025,0.0025123602062433,0.0228461478632773,1598065.2263574668
"best_model_layers_3_seq_180_hunits[32, 64, 148]_lr0.0001_daydecay1_maxnorm1.pth",2017-01-03,2020-12-28,0.7925065479751136,0.0025604324304308,0.0232976508241267,1610671.733331698
"best_model_layers_2_seq_30_hunits[32, 148]_lr0.001_daydecay2_maxnorm1.pth",2017-01-03,2020-12-28,0.7912146185440512,0.0025369237035909,0.0231214345156289,1604059.917329969
"best_model_layers_2_seq_60_hunits[32, 148]_lr0.001_daydecay10_maxnorm3.pth",2017-01-03,2020-12-28,0.7904877038944856,0.0025307925150338,0.0230867656398939,1601991.121597936
best_model_layers_1_seq_365_hunits[148]_lr0.0001_daydecay1_maxnorm1.pth,2017-01-03,2020-12-28,0.7902023337758377,0.0025262640517309,0.0230537779617876,1601097.111500415
"best_model_layers_2_seq_180_hunits[64, 148]_lr0.0001_daydecay1_maxnorm3.pth",2017-01-03,2020-12-28,0.7897298978162839,0.0025154762204845,0.0229690645377525,1598078.0616757509
"best_model_layers_2_seq_30_hunits[256, 148]_lr0.001_daydecay1_maxnorm3.pth",2017-01-03,2020-12-28,0.7893977367689541,0.0025470466421305,0.0232671233813987,1606160.462604741
